,$id,Name,Position,Grade,YearOfBirth,PersonalShares,FromDate,ClosedDate,StockCode
0,2,Mr. Nguyễn Văn Khải,Chairman of BOD,167,1967      ,0.0,N/A       ,2020-12-31T00:00:00,ABT
1,3,Mr. Phan Hữu Tài,CEO/Member of BOD,301,1977      ,0.0,2002      ,2020-12-31T00:00:00,ABT
2,4,Ms. Đặng Thị Bích Liên,Chief of Supervisory Board,24,-1        ,708.0,2012      ,2020-12-31T00:00:00,ABT
3,5,Ms. Nguyễn Thị Ngọc Lê,Chief Accountant,15,1963      ,6.0,1989      ,2020-12-31T00:00:00,ABT
4,6,Mr. Hồ Quốc Lực,Member of BOD,65,1956      ,0.0,          ,2020-12-31T00:00:00,ABT
5,7,Mr. Bùi Kim Hiếu,Deputy CEO,"24,296",1971      ,23088.0,1996      ,2020-12-31T00:00:00,ABT
6,8,Mr. Phạm Tiến Đắc,Member of Supervisory Board,416,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ABT
7,9,Ms. Ngô Thị Kim Phụng,Member of Supervisory Board,15,1981      ,0.0,N/A       ,2020-12-31T00:00:00,ABT
0,2,Mr. Trần Hùng Huy,Chairman of BOD,270,1978      ,74071670.0,2002      ,2020-12-31T00:00:00,ACB
1,3,Mr. Đỗ Minh Toàn,CEO,"59,23,56",1971      ,1416415.0,1995      ,2020-12-31T00:00:00,ACB
2,4,Mr. Huỳnh Nghĩa Hiệp,Chief of Supervisory Board,188,1953      ,419942.0,1993      ,2020-12-31T00:00:00,ACB
3,5,Mr. Nguyễn Thành Long,Vice Chairman of BOD,188,1951      ,797069.0,2012      ,2020-12-31T00:00:00,ACB
4,6,Ms. Đinh Thị Hoa,Member of BOD,"325,56",1961      ,32522.0,2012      ,2020-12-31T00:00:00,ACB
5,7,Mr. Dominic Timothy Charles Scriven,Member of BOD,23,1963      ,0.0,2015      ,2020-12-31T00:00:00,ACB
6,8,Mr. Hiep Van Vo,Member of BOD,56,-1        ,0.0,          ,2020-12-31T00:00:00,ACB
7,9,Mr. Huang Yuan Chiang,Member of BOD,59,-1        ,0.0,          ,2020-12-31T00:00:00,ACB
8,10,Ms. Đặng Thu Thủy,Member of BOD,"324,29",1955      ,25817788.0,1993      ,2020-12-31T00:00:00,ACB
9,11,Mr. Bùi Tấn Tài,Deputy CEO,"59,56",1973      ,81840.0,1995      ,2020-12-31T00:00:00,ACB
10,12,Mr. Nguyễn Đức Thái Hân,Deputy CEO,3,1967      ,55840.0,1994      ,2020-12-31T00:00:00,ACB
11,13,Mr. Nguyễn Văn Hòa,Finance Director/Chief Accountant/Deputy CEO,59,1969      ,119892.0,1995      ,2020-12-31T00:00:00,ACB
12,14,Ms. Nguyễn Thị Hai,Deputy CEO,4,1954      ,0.0,1993      ,2020-12-31T00:00:00,ACB
13,15,Ms. Nguyễn Ngọc Như Uyên,Deputy CEO,56,1978      ,39000.0,2015      ,2020-12-31T00:00:00,ACB
14,16,Mr. Đàm Văn Tuấn,Deputy CEO/Member of BOD,"59,111",1951      ,87064.0,1994      ,2020-12-31T00:00:00,ACB
15,17,Ms. Nguyễn Thị Tuyết Vân,Deputy CEO,59,1965      ,42937.0,2008      ,2020-12-31T00:00:00,ACB
16,18,Mr. Từ Tiến Phát,Deputy CEO,"59,56",1974      ,438100.0,1996      ,2020-12-31T00:00:00,ACB
17,19,Ms. Hoàng Ngân,Member of Supervisory Board,29,1954      ,91387.0,1993      ,2020-12-31T00:00:00,ACB
18,20,Ms. Nguyễn Thị Minh Lan,Member of Supervisory Board,"5,4",1965      ,0.0,2013      ,2020-12-31T00:00:00,ACB
19,21,Ms. Phùng Thị Tốt,Member of Supervisory Board,29,1950      ,116844.0,1993      ,2020-12-31T00:00:00,ACB
0,2,Mr. Phạm Xuân Phương,Chairman of BOD,203,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACC
1,3,Mr. Hoàng Văn Anh,Chief of Supervisory Board,8,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACC
2,4,Ms. Nguyễn Thị Thúy Vân,Chief Accountant,"373,56",1978      ,256.0,2008      ,2020-12-31T00:00:00,ACC
3,5,Mr. Nguyễn Quốc Thanh,Member of BOD,203,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACC
4,6,Mr. Đỗ Mạnh Cường,Member of BOD,203,-1        ,0.0,          ,2020-12-31T00:00:00,ACC
5,7,Mr. Ngô Anh Quân,Member of BOD,203,-1        ,0.0,          ,2020-12-31T00:00:00,ACC
6,8,Mr. Nguyễn Bảo Long,Member of BOD,203,1996      ,0.0,N/A       ,2020-12-31T00:00:00,ACC
7,9,Mr. Phạm Huy Hậu,Deputy CEO,59,-1        ,0.0,2019      ,2020-12-31T00:00:00,ACC
8,10,Mr. Lê Hùng Lam,Deputy CEO,373,-1        ,50.0,2008      ,2020-12-31T00:00:00,ACC
9,11,Ms. Lê Thị Tươi,Member of Supervisory Board,322,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACC
10,12,Mr. Nguyễn Thanh Hữu,Member of Supervisory Board,88,1985      ,0.0,N/A       ,2020-12-31T00:00:00,ACC
11,13,Mr. Trương Văn Nghĩa,Acting CEO,"555,14",-1        ,0.0,2019      ,2020-12-31T00:00:00,ACC
0,2,Ms. Trần Thị Vân Loan,Chairman of BOD,24,1971      ,26299950.0,2003      ,2020-12-31T00:00:00,ACL
1,3,Mr. Nguyễn Xuân Hải,Vice Chairman of BOD/CEO,"22,56",1967      ,1041700.0,2015      ,2020-12-31T00:00:00,ACL
2,4,Mr. Phù Chí Khai,Chief of Supervisory Board,86,-1        ,1100.0,2014      ,2020-12-31T00:00:00,ACL
3,5,Mr. Trương Minh Duy,Chief Accountant,88,1985      ,0.0,2014      ,2020-12-31T00:00:00,ACL
4,6,Ms. Nguyễn Thị Ngọc Bích,Member of BOD,203,-1        ,664400.0,N/A       ,2020-12-31T00:00:00,ACL
5,7,Ms. Cao Thị Thu Vân,Member of BOD,203,-1        ,0.0,          ,2020-12-31T00:00:00,ACL
6,8,Mr. Trần Văn Thả,Member of BOD,203,-1        ,0.0,          ,2020-12-31T00:00:00,ACL
7,9,Mr. Trần Tuấn Khanh,Deputy CEO/Member of BOD,24,1978      ,2374759.0,2004      ,2020-12-31T00:00:00,ACL
8,10,Ms. Phan Thị Cẩm Tú,Member of Supervisory Board,88,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACL
9,11,Ms. Trần Khánh Hiền,Member of Supervisory Board,88,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ACL
0,2,Mr. Nguyễn Xuân Thanh,Chairman of BOD,2,1964      ,5003100.0,1996      ,2020-12-31T00:00:00,ACM
1,3,Ms. Phạm Thị Thúy Hạnh,CEO/Member of BOD,24,1969      ,624000.0,1996      ,2020-12-31T00:00:00,ACM
2,4,Ms. Nguyễn Thị Doan,Chief of Supervisory Board,88,1985      ,10000.0,2011      ,2020-12-31T00:00:00,ACM
3,5,Mr. Nguyễn Văn Hiền,Member of BOD,2,1963      ,0.0,1996      ,2020-12-31T00:00:00,ACM
4,6,Mr. Phạm Văn Tiến,Member of BOD,23,1954      ,0.0,2011      ,2020-12-31T00:00:00,ACM
5,7,Ms. Đinh Thị Ngọc San,Member of Supervisory Board,59,1981      ,5000.0,2013      ,2020-12-31T00:00:00,ACM
6,8,Ms. Phạm Thị Thu Hoài,Member of Supervisory Board,59,1991      ,5000.0,2015      ,2020-12-31T00:00:00,ACM
7,9,Mr. Nguyễn Văn Quyết,,88,1987      ,1000.0,2012      ,2020-12-31T00:00:00,ACM
0,2,Mr. Lê Hoàng Hải,Chairman of BOD,375,1969      ,315112.0,2007      ,2021-03-04T00:00:00,ADC
1,3,Ms. Nguyễn Thị Thu Hồng,Chief of Supervisory Board,14,1984      ,0.0,2019      ,2021-03-04T00:00:00,ADC
2,4,Mr. Nguyễn Phong Yên,Chief Accountant,203,-1        ,4000.0,N/A       ,2021-03-04T00:00:00,ADC
3,5,Mr. Phạm Văn Thắng,Director/Member of BOD,166,1982      ,216342.0,2007      ,2021-03-04T00:00:00,ADC
4,6,Mr. Đinh Gia Lê,Vice Chairman of BOD,64,1971      ,0.0,2018      ,2021-03-04T00:00:00,ADC
5,7,Ms. Mai Nhị Hà,Member of BOD,313,1971      ,0.0,2018      ,2021-03-04T00:00:00,ADC
6,8,Mr. Nguyễn Văn Quyết,Member of Supervisory Board,322,1990      ,0.0,N/A       ,2021-03-04T00:00:00,ADC
7,9,Ms. Trần Thị Thu Hương,Member of Supervisory Board,88,1970      ,1584.0,2013      ,2021-03-04T00:00:00,ADC
8,10,Ms. Nguyễn Bích La,Deputy Director/Member of BOD,504,1972      ,20400.0,2011      ,2021-03-04T00:00:00,ADC
9,11,Ms. Nguyễn Thị Hồng Hạnh,Deputy Director,149,1974      ,4900.0,N/A       ,2021-03-04T00:00:00,ADC
0,2,Mr. Nguyễn Khánh Trình,Chairman of BOD,224,1981      ,4788571.0,2008      ,2020-12-31T00:00:00,ADG
1,3,Ms. Nguyễn Thị Hồi,Chief Accountant,166,1982      ,46939.0,2014      ,2020-12-31T00:00:00,ADG
2,4,Mr. Bạch Dương,Director,123,1981      ,0.0,2020      ,2020-12-31T00:00:00,ADG
3,5,Mr. Trần Văn Quân,Member of BOD,203,-1        ,0.0,N/A       ,2020-12-31T00:00:00,ADG
4,6,Ms. Lưu Hoàng Anh,Member of BOD,638,1986      ,162936.0,2006      ,2020-12-31T00:00:00,ADG
5,7,Mr. Dư Khắc Châu,Member of BOD,123,1981      ,160396.0,2010      ,2020-12-31T00:00:00,ADG
6,8,Ms. Đôn Nữ Đức Hiền,Deputy Director/Member of BOD,56,1987      ,162564.0,2008      ,2020-12-31T00:00:00,ADG
7,9,Ms. Vũ Ngọc Anh,Member of Internal Audit,322,1992      ,1379.0,2016      ,2020-12-31T00:00:00,ADG
8,10,Mr. Lee Sang Seok,Member of Internal Audit/Member of BOD,376,1978      ,0.0,2018      ,2020-12-31T00:00:00,ADG
9,11,Mr. Phạm Thanh Hải,Cheif of Internal Audit/Member of BOD,18,1981      ,79550.0,          ,2020-12-31T00:00:00,ADG
0,2,Mr. Đoàn Minh Quang,Chairman of BOD,"5,23",1957      ,-1.0,2016      ,2018-12-31T00:00:00,AFC
1,3,Mr. Bùi Văn Phương,CEO/Member of BOD,337,1966      ,4900.0,1987      ,2018-12-31T00:00:00,AFC
2,4,Ms. Phạm Thị Băng Trang,Chief of Supervisory Board,432,1965      ,-1.0,2016      ,2018-12-31T00:00:00,AFC
3,5,Mr. Quách Thế Vương,Chief Accountant,"88,24",1986      ,1090.0,2012      ,2018-12-31T00:00:00,AFC
4,6,Ms. Võ Thị Định,Member of BOD,88,1977      ,0.0,2016      ,2018-12-31T00:00:00,AFC
5,7,Mr. Vũ Xuân Chiều,Deputy CEO,337,1965      ,3700.0,1988      ,2018-12-31T00:00:00,AFC
6,8,Mr. Đỗ Quang Trường,Deputy CEO,332,1963      ,3970.0,1996      ,2018-12-31T00:00:00,AFC
7,9,Mr. Trần Thắng Vinh,Member of Supervisory Board,88,1979      ,16590.0,2010      ,2018-12-31T00:00:00,AFC
8,10,Ms. Đinh Thị Bích Danh,Member of Supervisory Board,88,1991      ,800.0,2014      ,2018-12-31T00:00:00,AFC
0,2,Mr. Nguyễn Quyết Thắng,Chairman of BOD,59,1969      ,0.0,2016      ,2020-12-31T00:00:00,AG1
1,3,Mr. Nguyễn Trường Sơn,Chairman of BOD,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,AG1
2,4,Mr. Nguyễn Thanh Huyền,CEO,55,1972      ,0.0,1994      ,2020-12-31T00:00:00,AG1
3,5,Mr. Nguyễn Thanh Huyền,Vice Chairman of BOD/CEO,55,1972      ,0.0,1994      ,2020-12-31T00:00:00,AG1
4,6,Mr. Lữ Công Thinh,Chief of Supervisory Board,432,1976      ,20000.0,2009      ,2020-12-31T00:00:00,AG1
5,7,Mr. Nguyễn Hữu Phước,Chief of Supervisory Board,432,1976      ,0.0,2014      ,2020-12-31T00:00:00,AG1
6,8,Ms. Lê Mai Dung,Chief Accountant,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,AG1
7,9,Mr. Nguyễn Hữu Phước,Chief Accountant/Chief Accountant/Member of BOD,432,1976      ,60400.0,2014      ,2020-12-31T00:00:00,AG1
8,10,Mr. Nguyễn Quyết Thắng,Vice Chairman of BOD,59,1969      ,0.0,2016      ,2020-12-31T00:00:00,AG1
9,11,Mr. Nguyễn Văn Tài,Member of BOD,203,-1        ,10000.0,N/A       ,2020-12-31T00:00:00,AG1
10,12,Ms. Nguyễn Thị Hồng Trang,Member of BOD,13,1978      ,11800.0,2004      ,2020-12-31T00:00:00,AG1
11,13,Mr. Huỳnh Thanh Điền,Member of BOD,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,AG1
12,14,Ms. Trần Thị Mỹ,Member of Supervisory Board,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,AG1
13,15,Mr. Nguyễn Thanh Định,Member of Supervisory Board,59,1978      ,0.0,2016      ,2020-12-31T00:00:00,AG1
14,16,Mr. Lê Văn Thanh,Member of Supervisory Board,59,1978      ,0.0,2011      ,2020-12-31T00:00:00,AG1
15,17,Mr. Nguyễn Thanh Định,Member of Supervisory Board,59,1978      ,0.0,2016      ,2020-12-31T00:00:00,AG1
16,18,Ms. Nguyễn Thị Thanh Thúy,Deputy Director,59,1973      ,0.0,2017      ,2020-12-31T00:00:00,AG1
17,19,Mr. Nguyễn Vĩnh Long,Deputy Director/Member of BOD,"59,467",1976      ,100300.0,2012      ,2020-12-31T00:00:00,AG1
18,20,Mr. Nguyễn Vĩnh Long,Deputy Director,"59,467",1976      ,100300.0,2012      ,2020-12-31T00:00:00,AG1
19,21,Ms. Nguyễn Thị Thanh Thúy,Deputy Director,59,1973      ,0.0,2017      ,2020-12-31T00:00:00,AG1
0,2,Mr. Ngô Phước Hậu,Chairman of BOD,380,1956      ,150009.0,1995      ,2020-12-31T00:00:00,AGF
1,3,Mr. Ngô Phước Hậu,Chairman of BOD,380,1956      ,150009.0,1995      ,2020-12-31T00:00:00,AGF
2,4,Mr. Ngô Phước Hậu,Chairman of BOD,380,1956      ,11000.0,1995      ,2020-12-31T00:00:00,AGF
3,5,Mr. Châu Duy Cường,Chairman of BOD,296,1973      ,0.0,N/A       ,2020-12-31T00:00:00,AGF
4,6,Mr. Nguyễn Văn Ký,CEO/Member of BOD,92,1958      ,0.0,2010      ,2020-12-31T00:00:00,AGF
5,7,Mr. Nguyễn Văn Ký,Vice Chairman of BOD/CEO,92,1958      ,0.0,2010      ,2020-12-31T00:00:00,AGF
6,8,Mr. Nguyễn Văn Ký,Vice Chairman of BOD/CEO,92,1958      ,0.0,2010      ,2020-12-31T00:00:00,AGF
7,9,Mr. Nguyễn Văn Ký,CEO/Member of BOD,92,1958      ,0.0,2010      ,2020-12-31T00:00:00,AGF
8,10,Mr. Lê Nam Hải,Chief of Supervisory Board,15,1971      ,0.0,2010      ,2020-12-31T00:00:00,AGF
9,11,Mr. Lê Nam Hải,Chief of Supervisory Board,15,1971      ,0.0,2010      ,2020-12-31T00:00:00,AGF
10,12,Mr. Lê Nam Hải,Chief of Supervisory Board,15,1971      ,0.0,2010      ,2020-12-31T00:00:00,AGF
11,13,Mr. Vũ Nhân Vương,Chief of Supervisory Board,203,1981      ,-1.0,N/A       ,2020-12-31T00:00:00,AGF
12,14,Mr. Huỳnh Minh Thống,Chief Accountant,29,1976      ,0.0,1998      ,2020-12-31T00:00:00,AGF
13,15,Mr. Huỳnh Minh Thống,Chief Accountant,29,1976      ,0.0,1998      ,2020-12-31T00:00:00,AGF
14,16,Mr. Huỳnh Minh Thống,Chief Accountant,29,1976      ,0.0,1998      ,2020-12-31T00:00:00,AGF
15,17,Mr. Dương Ngọc Minh,Vice Chairman of BOD,381,1956      ,0.0,2009      ,2020-12-31T00:00:00,AGF
16,18,Mr. Dương Ngọc Minh,Vice Chairman of BOD,381,1956      ,0.0,2009      ,2020-12-31T00:00:00,AGF
17,19,Mr. Dương Ngọc Minh,Vice Chairman of BOD,381,1956      ,0.0,2009      ,2020-12-31T00:00:00,AGF
18,20,Mr. Dương Ngọc Minh,Vice Chairman of BOD,381,1956      ,0.0,2009      ,2020-12-31T00:00:00,AGF
19,21,Ms. Trần Ngọc Vân,Member of BOD,203,-1        ,-1.0,2020      ,2020-12-31T00:00:00,AGF
20,22,Mr. Võ Văn Phong,Deputy CEO/Member of BOD,60,1975      ,5500.0,2013      ,2020-12-31T00:00:00,AGF
21,23,Mr. Võ Thành Thông,Deputy CEO/Member of BOD,432,1967      ,31384.0,1991      ,2020-12-31T00:00:00,AGF
22,24,Mr. Võ Thành Thông,Deputy CEO/Member of BOD,432,1967      ,34522.0,1991      ,2020-12-31T00:00:00,AGF
23,25,Mr. Võ Văn Phong,Deputy CEO/Member of BOD,60,1975      ,5500.0,2013      ,2020-12-31T00:00:00,AGF
24,26,Mr. Lê Văn Điệp,Deputy CEO,296,1968      ,13472.0,1990      ,2020-12-31T00:00:00,AGF
25,27,Mr. Võ Thành Thông,Chief Accountant/Deputy CEO/Member of BOD,27,1967      ,15692.0,1991      ,2020-12-31T00:00:00,AGF
26,28,Mr. Phù Thanh Danh,Deputy CEO/Member of BOD,296,1967      ,200386.0,1997      ,2020-12-31T00:00:00,AGF
27,29,Mr. Phù Thanh Danh,Deputy CEO/Member of BOD,296,1967      ,100193.0,1997      ,2020-12-31T00:00:00,AGF
28,30,Mr. Lê Văn Điệp,Deputy CEO,296,1968      ,2.0,1990      ,2020-12-31T00:00:00,AGF
29,31,Mr. Võ Thành Thông,Chief Accountant/Deputy CEO/Member of BOD,203,1967      ,34522.0,1991      ,2020-12-31T00:00:00,AGF
30,32,Mr. Huỳnh Tấn Trương,Member of Supervisory Board,88,1981      ,0.0,2010      ,2020-12-31T00:00:00,AGF
31,33,Ms. Triệu Nguyễn Ngọc Minh,Member of Supervisory Board,59,1985      ,0.0,2008      ,2020-12-31T00:00:00,AGF
32,34,Mr. Nguyễn Thanh Tùng,Member of Supervisory Board,59,1983      ,100.0,2013      ,2020-12-31T00:00:00,AGF
33,35,Ms. Triệu Nguyễn Ngọc Minh,Member of Supervisory Board,59,1985      ,0.0,2008      ,2020-12-31T00:00:00,AGF
34,36,Mr. Nguyễn Thanh Tùng,Member of Supervisory Board,59,1983      ,0.0,2013      ,2020-12-31T00:00:00,AGF
35,37,Ms. Triệu Nguyễn Ngọc Minh,Member of Supervisory Board,59,1985      ,0.0,2008      ,2020-12-31T00:00:00,AGF
36,38,Ms. Lê Thị Ngọc Giàu,Member of Supervisory Board,203,-1        ,0.0,2019      ,2020-12-31T00:00:00,AGF
37,39,Mr. Nguyễn Tường Huy,Member of Supervisory Board,203,-1        ,-1.0,N/A       ,2020-12-31T00:00:00,AGF
38,40,Ms. Nguyễn Phạm Bảo Châu,Member of Supervisory Board,203,-1        ,-1.0,2020      ,2020-12-31T00:00:00,AGF
